lessonId,route,title,catalog,mainTopic,subtopic,conceptId,existingType,newPrimaryType,interactionFormats,engine,currentAdapter,currentPresetSpecificity,targetPresetSpecificity,contentQuality,mathematicalReview,priority,applicabilityOfLearn,applicabilityOfExplore,applicabilityOfPractice,applicabilityOfChallenge,applicabilityOfInvestigation,applicabilityOfVisualProof,applicabilityOfAssessment,applicabilityOfRevision,notes
11,/lessons/core-workspaces/11-inverse-trigonometry,Inverse Trigonometry,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.inverse-trigonometry,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Inverse Trigonometry. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
12,/lessons/core-workspaces/12-hyperbolic-functions,Hyperbolic Functions,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.hyperbolic-functions,Calculator Lab,learn,graphing,graph-2d,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Read the core idea for Hyperbolic Functions. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
13,/lessons/core-workspaces/13-factorial-permutation-and-combination,"Factorial, Permutation and Combination",core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.factorial-permutation-and-combination,Calculator Lab,learn,cas,cas-data,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,"Read the core idea for Factorial, Permutation and Combination. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource."
14,/lessons/core-workspaces/14-absolute-value,Absolute Value,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.absolute-value,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Absolute Value. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
15,/lessons/core-workspaces/15-rounding-and-precision,Rounding and Precision,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.rounding-and-precision,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Rounding and Precision. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
16,/lessons/core-workspaces/16-constants-library,Constants Library,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.constants-library,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Constants Library. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
17,/lessons/core-workspaces/17-calculation-history,Calculation History,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.calculation-history,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Calculation History. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
18,/lessons/core-workspaces/18-exact-and-decimal-modes,Exact and Decimal Modes,core,Core Workspaces,Scientific Calculator,core-workspaces.scientific-calculator.exact-and-decimal-modes,Calculator Lab,learn,numeric-answer,none,calculator,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,optional,not-applicable,not-applicable,applicable-missing,applicable-missing,Read the core idea for Exact and Decimal Modes. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
19,/lessons/core-workspaces/19-algebra-workspace,Algebra Workspace,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.algebra-workspace,Exploration Lab,explore,construction|3d|slider,geometry-3d,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
20,/lessons/core-workspaces/20-variable-explorer,Variable Explorer,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.variable-explorer,Exploration Lab,investigation,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,applicable-missing,available,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
21,/lessons/core-workspaces/21-numeric-sliders,Numeric Sliders,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.numeric-sliders,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
22,/lessons/core-workspaces/22-integer-sliders,Integer Sliders,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.integer-sliders,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
23,/lessons/core-workspaces/23-angle-sliders,Angle Sliders,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.angle-sliders,Exploration Lab,explore,construction|slider,geometry-2d,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
24,/lessons/core-workspaces/24-animation-controls,Animation Controls,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.animation-controls,Exploration Lab,explore,cas|slider|animation,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
25,/lessons/core-workspaces/25-dependent-and-independent-objects,Dependent and Independent Objects,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.dependent-and-independent-objects,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
26,/lessons/core-workspaces/26-conditional-visibility,Conditional Visibility,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.conditional-visibility,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
27,/lessons/core-workspaces/27-dynamic-labels,Dynamic Labels,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.dynamic-labels,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
28,/lessons/core-workspaces/28-algebraic-input,Algebraic Input,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.algebraic-input,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
29,/lessons/core-workspaces/29-object-redefinition,Object Redefinition,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.object-redefinition,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
30,/lessons/core-workspaces/30-equation-input,Equation Input,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.equation-input,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
31,/lessons/core-workspaces/31-inequality-input,Inequality Input,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.inequality-input,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
32,/lessons/core-workspaces/32-lists,Lists,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.lists,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
33,/lessons/core-workspaces/33-matrices,Matrices,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.matrices,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
34,/lessons/core-workspaces/34-sequences,Sequences,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.sequences,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
35,/lessons/core-workspaces/35-piecewise-definitions,Piecewise Definitions,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.piecewise-definitions,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
36,/lessons/core-workspaces/36-boolean-variables,Boolean Variables,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.boolean-variables,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
37,/lessons/core-workspaces/37-dynamic-text,Dynamic Text,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.dynamic-text,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
38,/lessons/core-workspaces/38-latex-formula-display,LaTeX Formula Display,core,Core Workspaces,Algebra and Dynamic Variables,core-workspaces.algebra-and-dynamic-variables.latex-formula-display,Exploration Lab,explore,cas|slider,cas-data,algebra,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
57,/lessons/numbers-and-arithmetic/57-natural-numbers,Natural Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.natural-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
58,/lessons/numbers-and-arithmetic/58-whole-numbers,Whole Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.whole-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
59,/lessons/numbers-and-arithmetic/59-integers,Integers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.integers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
60,/lessons/numbers-and-arithmetic/60-rational-numbers,Rational Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.rational-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
61,/lessons/numbers-and-arithmetic/61-irrational-numbers,Irrational Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.irrational-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
62,/lessons/numbers-and-arithmetic/62-real-numbers,Real Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.real-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
63,/lessons/numbers-and-arithmetic/63-complex-numbers,Complex Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.complex-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
64,/lessons/numbers-and-arithmetic/64-place-value,Place Value,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.place-value,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
65,/lessons/numbers-and-arithmetic/65-factors,Factors,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.factors,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
66,/lessons/numbers-and-arithmetic/66-multiples,Multiples,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.multiples,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
67,/lessons/numbers-and-arithmetic/67-prime-numbers,Prime Numbers,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.prime-numbers,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
68,/lessons/numbers-and-arithmetic/68-prime-factorisation,Prime Factorisation,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.prime-factorisation,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
69,/lessons/numbers-and-arithmetic/69-hcf-gcd,HCF / GCD,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.hcf-gcd,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
70,/lessons/numbers-and-arithmetic/70-lcm,LCM,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.lcm,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
71,/lessons/numbers-and-arithmetic/71-divisibility-rules,Divisibility Rules,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.divisibility-rules,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
72,/lessons/numbers-and-arithmetic/72-modular-arithmetic,Modular Arithmetic,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.modular-arithmetic,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
73,/lessons/numbers-and-arithmetic/73-base-systems,Base Systems,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.base-systems,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
74,/lessons/numbers-and-arithmetic/74-continued-fractions,Continued Fractions,core,Numbers and Arithmetic,Numbers and Number Theory,numbers-and-arithmetic.numbers-and-number-theory.continued-fractions,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
75,/lessons/numbers-and-arithmetic/75-fraction-models,Fraction Models,core,Numbers and Arithmetic,"Fractions, Decimals, Ratios and Percentages",numbers-and-arithmetic.fractions-decimals-ratios-and-percentages.fraction-models,Concept + Manipulative,explore,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
76,/lessons/numbers-and-arithmetic/76-equivalent-fractions,Equivalent Fractions,core,Numbers and Arithmetic,"Fractions, Decimals, Ratios and Percentages",numbers-and-arithmetic.fractions-decimals-ratios-and-percentages.equivalent-fractions,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
77,/lessons/numbers-and-arithmetic/77-comparing-fractions,Comparing Fractions,core,Numbers and Arithmetic,"Fractions, Decimals, Ratios and Percentages",numbers-and-arithmetic.fractions-decimals-ratios-and-percentages.comparing-fractions,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
78,/lessons/numbers-and-arithmetic/78-fraction-operations,Fraction Operations,core,Numbers and Arithmetic,"Fractions, Decimals, Ratios and Percentages",numbers-and-arithmetic.fractions-decimals-ratios-and-percentages.fraction-operations,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
79,/lessons/numbers-and-arithmetic/79-decimal-place-value,Decimal Place Value,core,Numbers and Arithmetic,"Fractions, Decimals, Ratios and Percentages",numbers-and-arithmetic.fractions-decimals-ratios-and-percentages.decimal-place-value,Concept + Manipulative,learn,cas|slider,cas-data,number,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
